Name,Published Date,review
Christy Lemire,"
                                October 10, 2018
                            ","
                                    It is joyful. It leaps off the screen.
                                "
Linda Holmes,"
                                January 30, 2017
                            ","
                                    It's just gorgeous, like a flipbook made of dreamy vintage postcards that are somehow about contemporary life in Los Angeles.
                                "
Tom Shone,"
                                January 20, 2017
                            ","
                                    A toasty splash of sound and color .
                                "
Christina Newland,"
                                January 9, 2017
                            ","
                                    Open-hearted gushy romanticism in CinemaScope. What's not to love?
                                "
Gary M. Kramer,"
                                December 31, 2016
                            ","
                                    La La Land is a worthy showcase for the magnificent Stone's talents, and she is heartbreaking throughout.
                                "
Karen D'Souza,"
                                December 30, 2016
                            ","
                                    If you haven't already fallen for this gauzy romp through the city of Angels at this point, you surely will during the last scene, with its bittersweet homage to the way times goes by.
                                "
Ignatiy Vishnevetsky,"
                                December 30, 2016
                            ","
                                    It asks what the characters of a Cinemascope musical would have to dream about, and answers with a finale that lifts the film to a higher plane of wish fulfillment and melancholy.
                                "
Paul Byrnes,"
                                December 28, 2016
                            ","
                                    I don't know if the music will still be sung in 20 or 30 years. I do know that dance schools all around the world are going to see a rush of enrolments.
                                "
Jim Slotek,"
                                December 22, 2016
                            ","
                                    I have yet to meet someone who's watched it and come out in a bad mood.
                                "
Peter Howell,"
                                December 22, 2016
                            ","
                                    People say the movie musical is dead. Tell that that to your tapping toes while watching the enchantment of La La Land, one of the year's best films.
                                "
Barry Hertz,"
                                December 22, 2016
                            ","
                                    Almost anyone who happens to see it will be converted by minute three. Guaranteed.
                                "
Christopher Orr,"
                                December 18, 2016
                            ","
                                    Chazelle has reinvigorated the big-screen musical by embracing the present while paying tribute to the past, by balancing irony and innocence, novelty and nostalgia.
                                "
Adam Graham,"
                                December 16, 2016
                            ","
                                    ""La La Land"" is a special, special experience, and movies like this don't come around too often.
                                "
Rex Reed,"
                                December 15, 2016
                            ","
                                    The movie comes off as a well-intended tribute to the fabulous MGM musicals of the great Vincente Minnelli, made by people who have never seen one.
                                "
Scott Marks,"
                                December 15, 2016
                            ","
                                    This is one crowd-pleaser worth getting behind.
                                "
Richard Roeper,"
                                December 15, 2016
                            ","
                                    It's simply wonderful.
                                "
Ann Hornaday,"
                                December 15, 2016
                            ","
                                    Working together for the third time, Stone and Gosling quickly establish an easy rapport with one another, their surpassingly attractive physical features the perfect foils for Chazelle's aesthetic approach of naturalism and extreme stylization.
                                "
Michael Phillips,"
                                December 15, 2016
                            ","
                                    Chazelle is a born filmmaker, and he doesn't settle for rehashing familiar bits from musicals we already love. He's too busy giving us reasons to fall for this one.
                                "
Calvin Wilson,"
                                December 15, 2016
                            ","
                                    At a time when musicals seldom grace the big screen, ""La La Land"" is practically a miracle.
                                "
J. R. Jones,"
                                December 15, 2016
                            ","
                                    The musical numbers are distinctly Minnellian in their sense of lovers being swept away by the whirlwind of their mutual regard.
                                "
