Movie Name,Duration,rating,Director,Starring,Votes,income
,,,,,,
The Shawshank Redemption,142 min,"

9.3
",Frank Darabont,"<a href=""/name/nm0006669/"">William Sadler</a>","2,149,405",$28.34M
,,,,,,
The Godfather,175 min,"

9.2
",Francis Ford Coppola,"<a href=""/name/nm0000008/"">Marlon Brando</a>","1,475,143",$134.97M
,,,,,,
The Dark Knight,152 min,"

9.0
",Christopher Nolan,"<a href=""/name/nm0005132/"">Heath Ledger</a>","2,119,182",$534.86M
,,,,,,
The Godfather: Part II,202 min,"

9.0
",Francis Ford Coppola,"<a href=""/name/nm0000134/"">Robert De Niro</a>","1,026,694",$57.30M
,,,,,,
Joker,122 min,"

8.9
",Todd Phillips,"<a href=""/name/nm0000134/"">Robert De Niro</a>","345,926",$192.73M
,,,,,,
The Lord of the Rings: The Return of the King,201 min,"

8.9
",Peter Jackson,"<a href=""/name/nm0001557/"">Viggo Mortensen</a>","1,526,993",$377.85M
,,,,,,
Pulp Fiction,154 min,"

8.9
",Quentin Tarantino,"<a href=""/name/nm0000235/"">Uma Thurman</a>","1,686,626",$107.93M
,,,,,,
Schindler's List,195 min,"

8.9
",Steven Spielberg,"<a href=""/name/nm0328751/"">Caroline Goodall</a>","1,114,908",$96.90M
,,,,,,
12 Angry Men,96 min,"

8.9
",Sidney Lumet,"<a href=""/name/nm0000020/"">Henry Fonda</a>","613,773",$4.36M
,,,,,,
Fight Club,139 min,"

8.8
",David Fincher,"<a href=""/name/nm0340260/"">Zach Grenier</a>","1,717,230",$37.03M
,,,,,,
The Lord of the Rings: The Fellowship of the Ring,178 min,"

8.8
",Peter Jackson,"<a href=""/name/nm0000293/"">Sean Bean</a>","1,542,235",$315.54M
,,,,,,
Forrest Gump,142 min,"

8.8
",Robert Zemeckis,"<a href=""/name/nm0000398/"">Sally Field</a>","1,653,836",$330.25M
,,,,,,
Drishyam,160 min,"

8.7
",Jeethu Joseph,"<a href=""/name/nm0482320/"">Mohanlal</a>","26,279",$330.25M
,,,,,,
The Lord of the Rings: The Two Towers,179 min,"

8.7
",Peter Jackson,"<a href=""/name/nm0001557/"">Viggo Mortensen</a>","1,381,052",$342.55M
,,,,,,
Goodfellas,146 min,"

8.7
",Martin Scorsese,"<a href=""/name/nm0000134/"">Robert De Niro</a>","928,667",$46.84M
,,,,,,
One Flew Over the Cuckoo's Nest,133 min,"

8.7
",Milos Forman,"<a href=""/name/nm0077720/"">Michael Berryman</a>","849,061",$112.00M
,,,,,,
Seppuku,133 min,"

8.7
",Masaki Kobayashi,"<a href=""/name/nm0412615/"">Shima Iwashita</a>","26,984",$112.00M
,,,,,,
Interstellar,169 min,"

8.6
",Christopher Nolan,"<a href=""/name/nm0004266/"">Anne Hathaway</a>","1,339,880",$188.02M
,,,,,,
